num_walks,walk_length,window,embeddings,validation,test
100,10,5,64,0.3939,0.3877
100,7,5,64,0.3798,0.3822
100,5,10,64,0.3756,0.3737
50,10,5,64,0.3706,0.3684
50,7,5,64,0.367,0.3633
100,5,5,64,0.3666,0.3795
50,5,10,64,0.3476,0.3342
50,7,10,64,0.3474,0.362
100,7,10,64,0.3472,0.3516
25,10,5,64,0.3443,0.3316
25,10,10,64,0.3379,0.3233
100,10,10,64,0.3346,0.3315
50,10,10,64,0.3341,0.3316
50,5,5,64,0.3299,0.3222
25,7,5,64,0.291,0.2854
25,7,10,64,0.2908,0.2866
25,5,10,64,0.2587,0.2497
25,5,5,64,0.2549,0.2432
